tier,pincode,area,centre,est_mom_users,active_meditators_6mo,meditators,potential_meditators,est_population,population_source,layers,area_pocs,captains,signup_target_vols,active_vols_60pct
3,560001,MG Road / Shivajinagar,Indiranagar,1480,131,402,5270,138081,geoiq_modelled_nd,4,2,11,108,65
3,560022,Yeshwanthpur,Malleswaram,1834,135,442,4612,128575,geoiq_modelled_nd,4,2,11,104,62
3,560011,Jayanagar East,Jayanagar,1602,156,548,3687,56979,geoiq_modelled_nd,4,2,11,103,62
3,561203,Dod Ballapur,Bangalore Rural,1393,133,262,5204,127501,geoiq_modelled_nd,3,0,10,98,59
3,560023,Magadi Road / Binnipet,Vijayanagar,1253,117,312,4634,88305,geoiq_modelled_nd,3,0,10,93,56
3,560041,Jayanagar,Jayanagar,1298,158,499,3049,87099,geoiq_modelled_nd,3,0,10,92,55
3,560045,Ganganagar / Sultanpalya,Hebbal,1430,122,379,4155,187435,geoiq_modelled_nd,3,0,10,92,55
3,560057,Peenya Dasarahalli,Vijayanagar,1675,109,261,4687,65332,geoiq_modelled_nd,3,0,9,89,53
3,560096,Nandini Layout,Malleswaram,1425,122,320,4198,66133,geoiq_modelled_nd,3,0,9,89,53
3,560090,Bangalore Rural (560090),Bangalore Rural,1466,119,240,4234,57709,geoiq_modelled_nd,3,0,9,83,50
3,562123,Nelamangala,Bangalore Rural,1303,116,201,4151,254048,geoiq_modelled_nd,3,0,8,79,47
3,560027,Shanthinagar / Wilson Garden,Jayanagar,1303,80,324,3728,101468,geoiq_modelled_nd,3,0,8,78,47
3,560026,Deepanjali Nagar / Mysore Road,Vijayanagar,1212,84,234,4144,154326,geoiq_modelled_nd,3,0,8,77,46
3,560013,Jalahalli,Malleswaram,1393,119,359,2668,56878,geoiq_modelled_nd,3,0,8,73,44
3,560084,Kammanahalli / St Thomas Town,Banaswadi,1044,88,358,2760,95156,geoiq_modelled_nd,3,0,7,70,42
3,560019,Gavipuram / Kempegowda Nagar,Jayanagar,1189,88,288,3014,49733,geoiq_modelled_nd,3,0,7,68,41
3,560105,Anekal,Bannerghatta Road,1112,116,208,3254,81816,geoiq_modelled_nd,3,0,7,68,41
3,562106,Attibele,Electronic City,1325,114,209,3197,156189,geoiq_modelled_nd,3,0,7,67,40
3,560030,Adugodi,Koramangala,967,82,251,3210,33637,geoiq_modelled_nd,3,0,7,67,40
3,560095,Ejipura / Koramangala VI,Koramangala,876,78,341,2730,109480,geoiq_modelled_nd,3,0,7,67,40
3,560033,Maruthi Seva Nagar / Kacharakanahalli,Banaswadi,1080,54,270,3037,43806,geoiq_modelled_nd,3,0,7,63,38
3,560005,Fraser Town,Banaswadi,876,86,321,2374,73662,geoiq_modelled_nd,3,0,7,62,37
3,560071,Domlur,Indiranagar,844,81,367,1948,31359,geoiq_modelled_nd,3,0,6,60,36
3,562107,Sarjapura,Electronic City,1058,89,198,2799,114489,geoiq_modelled_nd,3,0,6,59,35
3,560018,Chamrajpet,Jayanagar,912,65,193,2969,50679,geoiq_modelled_nd,3,0,6,58,35
3,560065,GKVK / Hebbal North,Hebbal,894,80,229,2043,46981,geoiq_modelled_nd,3,0,6,51,31
3,560055,Malleswaram West,Malleswaram,930,65,326,1568,34099,geoiq_modelled_nd,3,0,5,50,30
3,560059,Rajarajeshwari Nagar / RV Niketan,Vijayanagar,999,82,202,2082,21437,geoiq_modelled_nd,3,0,5,50,30
3,560015,Jalahalli East,Malleswaram,794,70,179,1842,51984,geoiq_modelled_nd,3,0,5,44,26
3,562157,Hesaraghatta,Bangalore Rural,645,64,137,2193,255580,geoiq_modelled_nd,3,0,5,44,26
3,560020,Seshadripuram,Malleswaram,694,46,183,1806,29231,geoiq_modelled_nd,3,0,5,41,25
3,560002,City Market,Jayanagar,631,31,99,2438,88096,geoiq_modelled_nd,3,0,4,40,24
3,560104,Mallathahalli / Annapurneshwari Ngr,Vijayanagar,744,84,172,1479,31107,geoiq_modelled_nd,3,0,4,40,24
3,560053,Chickpet / Balepet,Jayanagar,613,25,79,2333,45532,geoiq_modelled_nd,3,0,4,37,22
3,560042,Sivanchetti Gardens,Indiranagar,567,42,203,1281,25008,geoiq_modelled_nd,3,0,4,35,21
3,560063,Yelahanka AFS / Jakkur,Hebbal,445,39,117,1844,21732,geoiq_modelled_nd,3,0,4,35,21
3,560039,Nayandahalli,Vijayanagar,595,53,141,1494,43809,geoiq_modelled_nd,3,0,4,35,21
3,560028,Jayanagar (560028),Jayanagar,499,37,191,1279,26812,geoiq_modelled_nd,3,0,4,34,20
3,562149,Hennagara / Anekal,Bangalore Rural,431,78,127,1248,363206,geoiq_modelled_nd,3,0,4,34,20
3,560025,Richmond Town,Banaswadi,404,30,172,1310,76601,geoiq_modelled_nd,3,0,4,32,19
3,560046,Benson Town,Banaswadi,449,33,140,1089,41458,geoiq_modelled_nd,3,0,3,27,16
3,560069,Jayanagar South (560069),Jayanagar,404,42,169,825,40948,geoiq_modelled_nd,3,0,3,27,16
3,560074,Kumbalgodu,Vijayanagar,481,38,84,1198,48548,geoiq_modelled_nd,3,0,3,25,15
3,560108,Jigani,Bannerghatta Road,513,50,114,796,7255,geoiq_modelled_nd,3,0,3,24,14
3,562130,Kanakapura,Bangalore Rural,354,30,80,1221,96329,geoiq_modelled_nd,3,0,3,24,14
3,560080,Sadashivanagar,Malleswaram,313,24,138,734,17763,geoiq_modelled_nd,3,0,3,22,13
3,562162,Bangalore Rural (562162),Bangalore Rural,277,24,43,1267,105922,geoiq_modelled_nd,3,0,3,21,13
3,562135,Bangalore Rural (562135),Bangalore Rural,241,21,39,1140,39187,geoiq_modelled_nd,3,0,2,19,11
3,560012,IISc / Sadashivanagar,Malleswaram,272,25,98,653,33244,geoiq_modelled_nd,3,0,2,18,11
3,560006,JC Nagar,Hebbal,241,25,73,720,66381,geoiq_modelled_nd,3,0,2,17,10
3,560052,Vasanth Nagar / High Grounds,Malleswaram,186,20,117,487,38124,geoiq_modelled_nd,3,0,2,17,10
3,560009,Gandhinagar / KG Road,Malleswaram,231,21,49,740,23331,geoiq_modelled_nd,3,0,2,15,9
3,560051,Shivajinagar / Commercial St,Banaswadi,145,14,48,481,32602,geoiq_modelled_nd,3,0,2,11,7
3,560089,Bangalore Rural (560089),Bangalore Rural,191,9,36,636,155469,geoiq_modelled_nd,3,0,2,11,7
3,560114,Electronic City (560114),Electronic City,204,39,57,203,61468,geoiq_modelled_nd,3,0,2,11,7
3,560110,Ullalu / Kommaghatta,Vijayanagar,186,16,32,523,21914,geoiq_modelled_nd,3,0,2,11,7
3,562129,Jigani / Anekal,Bangalore Rural,123,7,17,682,50814,geoiq_modelled_nd,3,0,1,10,6
3,560081,Bommasandra Industrial Area,Electronic City,177,19,46,326,5782,geoiq_modelled_nd,3,0,1,10,6
3,560014,Jalahalli West,Malleswaram,182,7,42,411,19301,geoiq_modelled_nd,3,0,1,9,5
3,562111,Ramanagara,Bangalore Rural,104,5,10,652,79167,geoiq_modelled_nd,3,0,1,9,5
3,560111,Bannerghatta (560111),Bannerghatta Road,136,25,42,227,92114,geoiq_modelled_nd,3,0,1,9,5
3,560107,Bangalore Rural (560107),Bangalore Rural,100,5,17,476,26919,geoiq_modelled_nd,3,0,1,8,5
3,560007,Agram / Ulsoor South,Indiranagar,159,7,34,312,43045,geoiq_modelled_nd,3,0,1,7,4
3,562122,Kolar,Bangalore Rural,95,4,6,538,62015,geoiq_modelled_nd,3,0,1,7,4
3,560088,Bangalore Rural (560088),Bangalore Rural,86,10,21,318,46211,geoiq_modelled_nd,3,0,1,7,4
3,562163,Doddaballapura Apparel Park,Bangalore Rural,82,12,27,271,59714,geoiq_modelled_nd,3,0,1,7,4
3,561204,Bangalore Rural (561204),Bangalore Rural,82,4,9,320,2980,census_2011,3,0,1,5,3
3,561205,Chikkaballapura (561205),Bangalore Rural,27,5,8,259,59882,geoiq_modelled_nd,3,0,1,4,2
3,562132,Bangalore Rural (562132),Bangalore Rural,41,1,5,258,48843,geoiq_modelled_nd,3,0,1,4,2
3,560113,Hebbal (560113),Hebbal,50,9,14,88,25988,geoiq_modelled_nd,3,0,1,3,2
3,560115,Budigere Cross (560115),Budigere Cross,54,9,18,79,12024,geoiq_modelled_nd,3,0,1,3,2
3,560106,Hebbal (560106),Hebbal,23,2,20,70,,not_found,3,0,1,3,2
3,560031,Benson Town North (560031),Malleswaram,14,2,9,56,,not_found,3,0,1,2,1
3,560062,Konanakunte / Puttenahalli,Kanakapura Road,4780,11,12,3,126695,geoiq_modelled_nd,3,0,1,2,1
3,560117,Whitefield (560117),Whitefield,14,6,7,27,15373,geoiq_modelled_nd,3,0,1,2,1
3,560300,Kempegowda Intl Airport,Hebbal,9,0,1,170,92607,geoiq_modelled_nd,3,0,1,2,1
3,562164,Bangalore Rural (562164),Bangalore Rural,9,4,5,83,38152,geoiq_modelled_nd,3,0,1,2,1
3,560061,Uttarahalli / Subramanyapura,Kanakapura Road,6582,5,9,5,122986,geoiq_modelled_nd,3,0,1,1,1
3,560112,Bangalore Rural (560112),Bangalore Rural,23,2,3,50,21400,geoiq_modelled_nd,3,0,1,1,1
3,560082,Kaggalipura / Kanakapura Rd,Kanakapura Road,903,0,3,2,19531,geoiq_modelled_nd,3,0,1,0,0
3,560109,Thalaghattapura / Vajarahalli,Kanakapura Road,1003,1,1,0,15536,geoiq_modelled_nd,3,0,1,0,0
3,560116,Bangalore Rural (560116),Bangalore Rural,9,0,1,25,39467,geoiq_modelled_nd,3,0,1,0,0
